idx,target_id,runtime_clean_logprob,src_clean_logprob,runtime_with_logprob,src_with_logprob,runtime_delta_logprob,src_delta_logprob,abs_diff_clean,abs_diff_with,abs_diff_delta,runtime_acc_base,src_acc_base,runtime_acc_with,src_acc_with,acc_base_match,acc_with_match
0,17676,-6.741594314575195,-6.984375,-6.584894180297852,-6.69921875,0.15670013427734375,0.28515625,0.2427806854248047,0.11432456970214844,0.12845611572265625,0.0,0.0,0.0,0.0,1,1
1,2997,-5.946138381958008,-6.69140625,-2.730574607849121,-3.359375,3.2155637741088867,3.33203125,0.7452678680419922,0.6288003921508789,0.11646747589111328,0.0,0.0,1.0,1.0,1,1
2,4335,-3.8273229598999023,-3.951171875,-2.4461135864257812,-2.552734375,1.381209373474121,1.3984375,0.12384891510009766,0.10662078857421875,0.017228126525878906,1.0,1.0,1.0,1.0,1,1
3,2997,-5.946138381958008,-6.69140625,-2.730574607849121,-3.359375,3.2155637741088867,3.33203125,0.7452678680419922,0.6288003921508789,0.11646747589111328,0.0,0.0,1.0,1.0,1,1
4,2997,-5.946138381958008,-6.69140625,-2.730574607849121,-3.359375,3.2155637741088867,3.33203125,0.7452678680419922,0.6288003921508789,0.11646747589111328,0.0,0.0,1.0,1.0,1,1
