layer,head,n_trials,mean_delta_p,std_delta_p,mean_abs_delta_p,mean_p_base,std_p_base,mean_p_patch,std_p_patch,mean_p_base_target,mean_p_patch_target,mean_delta_p_target,mean_delta_logit,std_delta_logit,mean_abs_delta_logit,mean_logit_base,mean_logit_patch,mean_delta_logprob,std_delta_logprob,mean_abs_delta_logprob,mean_logprob_base,mean_logprob_patch,any_nonzero,mean_act_norm,clean_mean_norm
11,30,25,0.0021172237396240236,0.005680705159596532,0.0021172237396240236,0.007979826927185059,0.01743489560514336,0.010097050666809082,0.022125492146146147,0.007979826927185059,0.010097050666809082,0.0021172237396240236,0.14953125,0.1331728567149665,0.14953125,7.55265625,7.7021875,0.14234375,0.12482570856811208,0.14234375,-6.49125,-6.34890625,True,1.5938860177993774,1.5938860177993774
31,14,25,0.0020853137969970704,0.00656348760233766,0.0021267127990722656,0.007979826927185059,0.01743489560514336,0.01006514072418213,0.02371793945596926,0.007979826927185059,0.01006514072418213,0.0020853137969970704,0.2840625,0.147581909195792,0.2840625,7.55265625,7.83671875,0.0640625,0.11573711836055989,0.09625,-6.49125,-6.4271875,True,14.293993949890137,14.293993949890137
15,16,25,0.001861133575439453,0.006340351089875376,0.0019160652160644532,0.007979826927185059,0.01743489560514336,0.009840960502624512,0.023362061413967905,0.007979826927185059,0.009840960502624512,0.001861133575439453,0.1759375,0.22040246390126858,0.2103125,7.55265625,7.72859375,0.185,0.17895189101229134,0.1990625,-6.49125,-6.30625,True,1.3416638374328613,1.3416638374328613
10,12,25,0.0017221355438232422,0.005209666320552507,0.0017332744598388672,0.007979826927185059,0.01743489560514336,0.009701962471008302,0.021541098652987152,0.007979826927185059,0.009701962471008302,0.0017221355438232422,0.151875,0.1327082311289507,0.15375,7.55265625,7.70453125,0.12671875,0.11863342345290491,0.12984375,-6.49125,-6.36453125,True,1.0890495777130127,1.0890495777130127
16,28,25,0.0016553354263305663,0.004121157999827007,0.0016603708267211915,0.007979826927185059,0.01743489560514336,0.009635162353515626,0.021063945682393538,0.007979826927185059,0.009635162353515626,0.0016553354263305663,0.05484375,0.09198521238152903,0.07078125,7.55265625,7.6075,0.102890625,0.09920909155745883,0.104453125,-6.49125,-6.388359375,True,1.2153085470199585,1.2153085470199585
13,31,25,0.001640310287475586,0.0036774755366330665,0.0016435146331787109,0.007979826927185059,0.01743489560514336,0.009620137214660644,0.021019425790636297,0.007979826927185059,0.009620137214660644,0.001640310287475586,0.159375,0.1152443057161611,0.1659375,7.55265625,7.71203125,0.14375,0.09221563394854068,0.1459375,-6.49125,-6.3475,True,1.5551466941833496,1.5551466941833496
10,7,25,0.0015846538543701173,0.005070384193903692,0.001612691879272461,0.007979826927185059,0.01743489560514336,0.009564480781555175,0.022020204653844605,0.007979826927185059,0.009564480781555175,0.0015846538543701173,0.11734375,0.10559587246313182,0.12671875,7.55265625,7.67,0.10375,0.09344893063443128,0.10578125,-6.49125,-6.3875,True,1.3954895734786987,1.3954895734786987
9,25,25,0.0015379762649536132,0.00446468236753171,0.0015394258499145507,0.007979826927185059,0.01743489560514336,0.009517803192138671,0.02030759520408786,0.007979826927185059,0.009517803192138671,0.0015379762649536132,0.1778125,0.1643640086629369,0.1803125,7.55265625,7.73046875,0.151640625,0.14541314558923568,0.153515625,-6.49125,-6.339609375,True,1.6889488697052002,1.6889488697052002
14,29,25,0.0014371013641357423,0.003250272946755238,0.0014395809173583984,0.007979826927185059,0.01743489560514336,0.0094169282913208,0.02029992754444186,0.007979826927185059,0.0094169282913208,0.0014371013641357423,0.12015625,0.10149805647769813,0.12765625,7.55265625,7.6728125,0.12,0.08810837609160664,0.1228125,-6.49125,-6.37125,True,1.675775170326233,1.675775170326233
15,5,25,0.0012279081344604493,0.003822215002143672,0.0012279081344604493,0.007979826927185059,0.01743489560514336,0.009207735061645508,0.02104116563476211,0.007979826927185059,0.009207735061645508,0.0012279081344604493,0.08546875,0.06167739912236896,0.08703125,7.55265625,7.638125,0.087421875,0.05407661033345424,0.087421875,-6.49125,-6.403828125,True,1.5595769882202148,1.5595769882202148
15,8,25,0.0011211061477661133,0.0033817838542496035,0.0011268377304077149,0.007979826927185059,0.01743489560514336,0.009100933074951172,0.020566361326897886,0.007979826927185059,0.009100933074951172,0.0011211061477661133,0.063125,0.08474081578185921,0.0803125,7.55265625,7.61578125,0.072578125,0.07176809304758976,0.081015625,-6.49125,-6.418671875,True,0.881152331829071,0.881152331829071
12,0,25,0.0011075735092163086,0.0031844233792376604,0.0011406850814819336,0.007979826927185059,0.01743489560514336,0.009087400436401367,0.020552963191200552,0.007979826927185059,0.009087400436401367,0.0011075735092163086,0.06703125,0.060188505962517465,0.07734375,7.55265625,7.6196875,0.07203125,0.061914543077787876,0.07703125,-6.49125,-6.41921875,True,1.0024933815002441,1.0024933815002441
16,17,25,0.0010294485092163085,0.004310042300778244,0.001045985221862793,0.007979826927185059,0.01743489560514336,0.009009275436401367,0.02128806285913495,0.007979826927185059,0.009009275436401367,0.0010294485092163085,0.0540625,0.07332671164470012,0.0646875,7.55265625,7.60671875,0.039453125,0.070697729421195,0.054296875,-6.49125,-6.451796875,True,0.842449426651001,0.842449426651001
13,29,25,0.0009594106674194336,0.0023700852539233703,0.0009671926498413086,0.007979826927185059,0.01743489560514336,0.008939237594604492,0.01969014235981666,0.007979826927185059,0.008939237594604492,0.0009594106674194336,0.0803125,0.06111832146541657,0.088125,7.55265625,7.63296875,0.07421875,0.051960467056395385,0.07953125,-6.49125,-6.41703125,True,1.1456413269042969,1.1456413269042969
15,7,25,0.0009316253662109375,0.002939890597740075,0.0009331893920898437,0.007979826927185059,0.01743489560514336,0.008911452293395995,0.020105454660797516,0.007979826927185059,0.008911452293395995,0.0009316253662109375,0.10703125,0.07337929874545682,0.10953125,7.55265625,7.6596875,0.092421875,0.058548732706716206,0.094296875,-6.49125,-6.398828125,True,1.5060590505599976,1.5060590505599976
12,4,25,0.0009316062927246094,0.003053824979921823,0.001244821548461914,0.007979826927185059,0.01743489560514336,0.008911433219909668,0.01783439732736551,0.007979826927185059,0.008911433219909668,0.0009316062927246094,0.10515625,0.1569551276937934,0.10953125,7.55265625,7.6578125,0.116875,0.16318934315312994,0.1240625,-6.49125,-6.374375,True,0.5639074444770813,0.5639074444770813
