q_id,layer,baseline_layer,super_layer,acc_base_baseline,acc_base_super,diff_acc_base,acc_with_baseline,acc_with_super,diff_acc_with,delta_acc_baseline,delta_acc_super,diff_delta_acc,mean_delta_logprob_baseline,mean_delta_logprob_super,diff_mean_delta_logprob,mean_delta_p_baseline,mean_delta_p_super,diff_mean_delta_p,mean_delta_logit_baseline,mean_delta_logit_super,diff_mean_delta_logit
Q1,12,12,12,0.0,0.0,0.0,0.4,0.0,-0.4,0.4,0.0,-0.4,3.5022253036499023,2.2360580444335936,-1.2661672592163087,0.10979604046588065,0.022147475842211863,-0.0876485646236688,4.33828125,4.49921875,0.16093750000000018
Q1,13,13,13,0.0,0.0,0.0,0.6,0.0,-0.6,0.6,0.0,-0.6,3.6574246406555178,2.4842598915100096,-1.1731647491455082,0.13595782784541371,0.03053987995517673,-0.10541794789023698,4.97578125,4.82421875,-0.15156249999999982
Q1,14,14,14,0.0,0.0,0.0,0.6,0.0,-0.6,0.6,0.0,-0.6,3.9377305030822756,2.436857509613037,-1.5008729934692386,0.1810285423489404,0.029941651022818407,-0.151086891326122,5.51640625,4.53828125,-0.9781250000000004
Q1,15,15,15,0.0,0.0,0.0,0.6,0.0,-0.6,0.6,0.0,-0.6,4.063893604278564,2.226144790649414,-1.8377488136291502,0.17584607615863207,0.02440344072674634,-0.15144263543188574,5.41328125,3.61640625,-1.796875
Q1,16,16,16,0.0,0.0,0.0,0.4,0.0,-0.4,0.4,0.0,-0.4,3.6448323249816896,1.5844198226928712,-2.0604125022888184,0.11518205027823569,0.010878179532301146,-0.10430387074593454,4.8171875,2.60546875,-2.21171875
Q1,17,17,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8643939971923826,1.3652440071105958,-1.4991499900817868,0.050312808582384606,0.00876197845354909,-0.041550830128835516,3.93359375,2.227734375,-1.7058593750000002
Q1,18,18,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.565546417236328,1.4589938163757323,-1.1065526008605957,0.0383309829121572,0.009791102075541857,-0.02853988083661534,3.537109375,2.28125,-1.255859375
Q1,19,19,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0731043815612793,1.0510794639587402,-1.022024917602539,0.022490291933354455,0.006070919243211392,-0.016419372690143062,2.84453125,1.680859375,-1.1636718750000001
Q1,20,20,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.021053409576416,1.0771116256713866,-0.9439417839050295,0.020387568006117362,0.006323305280238856,-0.014064262725878506,2.840234375,1.781640625,-1.05859375
Q1,21,21,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4394424438476563,0.7680889129638672,-0.6713535308837891,0.010030976521375124,0.0052260153417591935,-0.004804961179615931,2.009765625,1.29453125,-0.7152343750000001
Q1,22,22,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9360370635986328,0.6286723136901855,-0.3073647499084473,0.004232551610039081,0.0029004428201005795,-0.0013321087899385016,1.4,1.296875,-0.10312499999999991
Q1,23,23,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7582307815551758,0.6292849540710449,-0.12894582748413086,0.0029908270531450397,0.003327567763335537,0.0003367407101904974,1.13125,1.36640625,0.23515624999999996
Q1,24,24,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7011384963989258,0.5481563568115234,-0.15298213958740237,0.0028220460706506858,0.002588027015735861,-0.00023401905491482466,1.108203125,1.3515625,0.24335937500000004
Q1,25,25,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6210346221923828,0.6066900253295898,-0.014344596862792991,0.00246891619899543,0.002604240940127056,0.00013532474113162572,1.052734375,1.16171875,0.10898437499999991
Q1,26,26,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5550679206848145,0.5746244430541992,0.019556522369384766,0.0022249970963457598,0.0022487918584374713,2.379476209171151e-05,1.0,1.2078125,0.20781249999999996
