q_id,layer,acc_base,acc_with,delta_acc,mean_delta_logprob,mean_delta_p
Q3,1,0.0,0.0,0.0,-0.07971735000610351,1.509694520791527e-05
Q3,2,0.0,0.0,0.0,-1.2833380699157715,-0.00016670690047249082
Q3,3,0.0,0.0,0.0,-1.6431963920593262,-0.00019804261069111817
Q3,4,0.0,0.0,0.0,-0.6210151672363281,-0.00012730461376122548
Q3,5,0.0,0.0,0.0,-0.2650869369506836,-5.812846375192748e-05
Q3,6,0.0,0.0,0.0,0.2798712730407715,3.4846832477342105e-05
Q3,7,0.0,0.0,0.0,0.1987508773803711,1.9808444722002606e-05
Q3,8,0.0,0.0,0.0,0.5849329948425293,0.00016635819238217664
Q3,9,0.0,0.0,0.0,0.7750668525695801,0.000345130201367283
Q3,10,0.0,0.0,0.0,0.9938848495483399,0.0004326708808548574
Q3,11,0.0,0.0,0.0,0.9467362403869629,0.00038386181158784894
Q3,12,0.0,0.0,0.0,1.3671380043029786,0.0008734025214835128
Q3,13,0.0,0.0,0.0,1.4381837844848633,0.000905798272742686
Q3,14,0.0,0.0,0.0,1.4452804565429687,0.0008764063642047404
Q3,15,0.0,0.0,0.0,1.2195616722106934,0.0006382890795975982
Q3,16,0.0,0.0,0.0,0.7430724143981934,0.00029442100030792063
Q3,17,0.0,0.0,0.0,0.5214231491088868,0.000204182498055161
Q3,18,0.0,0.0,0.0,0.3826179504394531,0.00015630542820872507
Q3,19,0.0,0.0,0.0,0.15628490447998047,5.531592778424965e-05
Q3,20,0.0,0.0,0.0,0.058798694610595705,1.111685551222763e-05
Q3,21,0.0,0.0,0.0,0.005433082580566406,-6.385748292814242e-06
Q3,22,0.0,0.0,0.0,-0.1257577896118164,-3.814410592895001e-05
Q3,23,0.0,0.0,0.0,-0.04459600448608399,-3.09726114210207e-05
Q3,24,0.0,0.0,0.0,-0.0047476768493652345,-1.2262426844245056e-05
Q3,25,0.0,0.0,0.0,0.010825634002685547,-2.061676013909164e-05
Q3,26,0.0,0.0,0.0,-0.016594791412353517,-2.9026496940787182e-05
Q3,27,0.0,0.0,0.0,-0.14629106521606444,-5.887217630515806e-05
Q3,28,0.0,0.0,0.0,-0.21353302001953126,-7.417940628329234e-05
Q3,29,0.0,0.0,0.0,-0.3924163818359375,-8.264506504929159e-05
Q3,30,0.0,0.0,0.0,-1.0690343856811524,-0.00013219544980529462
Q3,31,0.0,0.0,0.0,-1.0232810020446776,-0.00015118733535928185
Q4,0,0.0,0.0,0.0,-0.681941032409668,0.0025408455572232926
Q4,1,0.0,0.2,0.2,0.6366691589355469,0.023220956993463916
Q4,2,0.0,0.0,0.0,-2.7637383460998537,-0.005874430238850437
Q4,3,0.0,0.0,0.0,-1.4603634834289552,-0.0004273817021044124
Q4,4,0.0,0.0,0.0,0.44322891235351564,0.02532525512860957
Q4,5,0.0,0.2,0.2,1.284027671813965,0.04476705469023727
Q4,6,0.0,0.0,0.0,1.3237998008728027,0.022112377792655024
Q4,7,0.0,0.0,0.0,1.3503125190734864,0.02384804807516048
Q4,8,0.0,0.2,0.2,2.2254766464233398,0.050671771555789745
Q4,9,0.0,0.2,0.2,2.5337873458862306,0.06863874898699578
Q4,10,0.0,0.2,0.2,2.65484676361084,0.07144419467367698
Q4,11,0.0,0.2,0.2,2.6576703071594237,0.09113186329195741
Q4,12,0.0,0.2,0.2,3.135420036315918,0.13759037712879946
Q4,13,0.0,0.2,0.2,3.4367831230163572,0.1557589100470068
Q4,14,0.0,0.3,0.3,3.2571897506713867,0.11000661906145978
Q4,15,0.0,0.2,0.2,2.8642370223999025,0.06588224314909893
Q4,16,0.0,0.2,0.2,2.439438819885254,0.04755617704067845
Q4,17,0.0,0.1,0.1,1.9455330848693848,0.028064004823681897
Q4,18,0.0,0.1,0.1,1.7088937759399414,0.022642262620502153
Q4,19,0.0,0.1,0.1,1.5051647186279298,0.0176066351152258
Q4,20,0.0,0.1,0.1,1.3444847106933593,0.014366600281209684
Q4,21,0.0,0.1,0.1,0.6992856025695801,0.007910089535289443
