name,status,exit_code,mismatch_count,max_abs_diff,duration_sec,cmd
prompt,PASS,0,0,,4.622324,/Users/soonsikham/Desktop/my_fv_project/.venv/bin/python scripts/verify_prompt_parity.py --fixed_trials_path datasets/fixed_trials/fixed_trials_antonym_t10_s10_seed0.json --max_trials 5 --model_name_for_tokenizer gpt2
slot,PASS,0,0,,4.127114,/Users/soonsikham/Desktop/my_fv_project/.venv/bin/python scripts/verify_slot_parity_against_src.py --fixed_trials_path datasets/fixed_trials/fixed_trials_antonym_t10_s10_seed0.json --max_trials 5 --mode corrupted --tokenizer_name gpt2 --assert_zero
fv,PASS,0,0,0.0,5.846807,/Users/soonsikham/Desktop/my_fv_project/.venv/bin/python scripts/verify_fv_parity.py --dataset_name antonym --fixed_trials_id fixed_trials_antonym_t10_s10_seed0 --results_root results --model_name gpt2 --device cpu --seed 42 --n_top_heads 10 --token_class_idx -1 --assert_zero
injection,PASS,0,0,0.0,8.244904,/Users/soonsikham/Desktop/my_fv_project/.venv/bin/python scripts/verify_injection_parity.py --dataset_name antonym --fixed_trials_path datasets/fixed_trials/fixed_trials_antonym_t10_s10_seed0.json --fixed_trials_id fixed_trials_antonym_t10_s10_seed0 --results_root results --results_fv_root results_fv --model_name gpt2 --device cpu --seed 42 --n_top_heads 10 --token_class_idx -1 --edit_layer 9 --max_trials 5 --assert_zero
