trial_idx,target_id,clean_src_logprob,clean_fv_logprob,with_src_logprob,with_fv_logprob,delta_src_logprob,delta_fv_logprob,clean_equal,with_equal,delta_equal,trial_match,clean_logits_max_abs_diff,with_logits_max_abs_diff
0,3424,-8.209237098693848,-8.209237098693848,-7.937154293060303,-7.937154293060303,0.2720828056335449,0.2720828056335449,1,1,1,1,0.0,0.0
1,2291,-6.981242656707764,-6.981242656707764,-6.567978382110596,-6.567978382110596,0.41326427459716797,0.41326427459716797,1,1,1,1,0.0,0.0
2,13574,-9.557073593139648,-9.557073593139648,-9.213619232177734,-9.213619232177734,0.34345436096191406,0.34345436096191406,1,1,1,1,0.0,0.0
3,7786,-9.43216609954834,-9.43216609954834,-9.555835723876953,-9.555835723876953,-0.12366962432861328,-0.12366962432861328,1,1,1,1,0.0,0.0
4,9320,-6.634739875793457,-6.634739875793457,-6.762677192687988,-6.762677192687988,-0.12793731689453125,-0.12793731689453125,1,1,1,1,0.0,0.0
