layer,head,n_trials,mean_delta_p,std_delta_p,mean_abs_delta_p
20,9,50,-0.0008050763863138855,0.0035858359187841415,0.0011905896244570613
14,10,50,0.001161871012300253,0.0033316670451313257,0.001163232373073697
19,3,50,0.0011164880124852061,0.002996506867930293,0.0011414408218115568
13,17,50,-0.0010554826585575938,0.0029789491090923548,0.0011380660580471158
14,16,50,-0.001125990180298686,0.0030327392742037773,0.0011288273381069303
12,2,50,0.00037018657894805074,0.00319270440377295,0.0011205041082575917
13,24,50,0.0011069405591115355,0.0029734368436038494,0.0011093748034909368
13,16,50,0.0003781962441280484,0.004325733985751867,0.001067686127498746
23,20,50,-0.000811818812508136,0.004364711232483387,0.0010538685601204634
14,27,50,-0.001039779162965715,0.0024416230153292418,0.0010449003893882036
14,8,50,-0.00035144330468028784,0.0031459296587854624,0.0010325146140530705
17,18,50,-0.0008358764462172985,0.0031403503380715847,0.0010278892004862428
12,9,50,-0.0002550733042880893,0.003957301843911409,0.0010270655620843172
20,27,50,0.0010089599527418613,0.003342672251164913,0.0010193288326263428
30,6,50,0.00039996980922296643,0.002995363436639309,0.0010036862222477794
19,8,50,-0.0009864068124443293,0.0027906897012144327,0.000998775940388441
12,16,50,-0.0006324124406091869,0.0037168932612985373,0.0009850477799773216
14,22,50,0.0004869687545578927,0.0035780416801571846,0.0009843027219176292
15,21,50,-0.0009582305210642517,0.002985631814226508,0.0009771371260285378
11,17,50,0.0007695150561630726,0.0024059819988906384,0.0009704685071483254
13,18,50,0.0009198641637340188,0.0024307311978191137,0.0009665322140790522
23,7,50,-0.000942701124586165,0.003602733137086034,0.0009638560004532337
31,7,50,-0.0005364274838939309,0.005257469601929188,0.0009588956600055099
21,31,50,-0.0007410144899040461,0.005523241590708494,0.000943951599765569
21,3,50,-0.0009157753083854914,0.0028584508690983057,0.0009424495510756969
12,26,50,-0.000709261919837445,0.0036826946306973696,0.0009140539332292974
12,6,50,-0.0005573821254074574,0.002487650141119957,0.0009135842556133866
19,17,50,-0.0005349791026674211,0.0026932943146675825,0.0009051430388353765
11,5,50,6.8564411776606e-05,0.0028125522658228874,0.000899488921277225
21,26,50,0.0002727937826421112,0.0030041728168725967,0.0008902621339075267
14,23,50,-0.0006866526673547924,0.002965296618640423,0.0008737683529034257
14,21,50,0.0006979834870435297,0.0021355922799557447,0.0008702671620994806
13,26,50,-0.0008632278186269104,0.001831603585742414,0.0008632325916551054
17,5,50,0.0007639157702215016,0.0025174925103783607,0.000861572043504566
12,11,50,0.00039246678352355957,0.002111665206030011,0.000852164055686444
14,30,50,-0.00031931043486110866,0.0020622091833502054,0.0008511269115842879
14,19,50,0.0008295393199659884,0.0026729812379926443,0.000841462635435164
10,26,50,0.0007857132004573941,0.00205838680267334,0.0008345484966412187
19,20,50,-0.0008023166446946561,0.0019742422737181187,0.0008331441786140203
19,11,50,0.000807951670140028,0.0024548701476305723,0.0008261001203209162
11,4,50,-0.000601152190938592,0.002352739917114377,0.0008172499947249889
21,10,50,0.0008111965726129711,0.0021260236389935017,0.0008156168623827398
12,14,50,-0.0006041037850081921,0.0024067258927971125,0.0008073174976743758
14,7,50,-0.0005409872392192483,0.0017045042477548122,0.0008055365178734064
30,31,50,0.0006004762835800648,0.0025575642939656973,0.0008035755017772317
20,12,50,-0.0007703948067501187,0.003192468546330929,0.0008000039961189032
31,15,50,0.0007837796001695096,0.0026843820232897997,0.0007867145468480885
30,24,50,-0.00052039505681023,0.0030247922986745834,0.0007856166339479387
18,29,50,0.0007594251655973494,0.0024375109933316708,0.0007825827342458069
25,21,50,-0.0007728576892986894,0.0024536459241062403,0.0007746219635009766
14,24,50,0.0007690119673497975,0.0022838355507701635,0.0007702303119003773
21,29,50,-0.0007336402195505798,0.003295909147709608,0.0007659792900085449
20,14,50,-0.00045547366607934237,0.002451989334076643,0.0007610738393850625
22,19,50,0.0007457792526111007,0.002275861334055662,0.0007568180444650352
13,13,50,8.946418529376388e-05,0.0021333983168005943,0.000750093488022685
21,27,50,0.00045053125359117985,0.0033317962661385536,0.0007496845792047679
11,7,50,-0.0006583094364032149,0.0019078617915511131,0.0007491874857805669
12,28,50,-4.845261719310656e-05,0.002540827030315995,0.0007464396767318249
10,24,50,-0.0004899120540358126,0.0024897269904613495,0.0007228564936667681
23,22,50,-7.510304567404091e-05,0.0025983783416450024,0.0007174217607825994
11,20,50,-0.0004969382425770164,0.0020415738690644503,0.0007174205966293812
15,9,50,0.0006916785496287048,0.0016662239795550704,0.0007084441022016108
27,28,50,0.0003359854163136333,0.0023898291401565075,0.0007075393223203719
15,27,50,-0.0005624353652819991,0.002964835148304701,0.0007071602158248425
15,20,50,0.0007032323046587408,0.0014129182090982795,0.0007056260365061462
11,0,50,0.00023037195205688477,0.0019961646758019924,0.000704567413777113
16,2,50,0.00043180942884646356,0.0017518828390166163,0.0006962657207623124
13,15,50,-0.0005933833308517933,0.0031282431446015835,0.0006947445799596608
