q_id,shot,n_trials_used,n_boot,pt_abc_mean,pt_abc_median,pt_abd_mean,pt_abd_median,pt_abc_p_gt1,pt_abd_p_gt1,delta_mean,delta_median,delta_p_gt0,pt_abc_ci2_low,pt_abc_ci2_high,pt_abd_ci2_low,pt_abd_ci2_high,delta_ci2_low,delta_ci2_high,pt_abc_ci1_low,pt_abd_ci1_low,delta_ci1_low
Q1,1,100,10000,0.9131516446709679,0.9119523831989456,0.8925924692758077,0.8805723846478524,0.0069,0.0507,-0.020559175395160185,-0.028877435161826448,0.3202,0.8515767862169118,0.9802739934476354,0.8205150936712119,1.0297173209403416,-0.11593240592621326,0.12083906455611602,0.8611413528122491,0.8254447441436809,-0.10369423526069414
Q1,3,100,10000,0.9210520439304499,0.9186711300219819,0.9778297871004564,0.9692996866513492,0.0556,0.3996,0.05677774317000654,0.04991788485287385,0.629,0.831106882496263,1.020470769331173,0.7660192832570897,1.2435663274158535,-0.23479149788824377,0.3863166421270315,0.8447054176107824,0.7951008558245926,-0.18810623909689106
Q1,5,100,10000,1.0668130918521022,1.0653381823796462,0.9850253812578176,0.9772294502861563,0.9268,0.4222,-0.08178771059428441,-0.08699921272470479,0.2628,0.9776622264905406,1.164447724766705,0.7896727259209823,1.2240586345248616,-0.3412475930157232,0.2069486880165519,0.9917155148465545,0.8190640444969913,-0.29841643840320986
Q1,7,100,10000,1.2327514593839342,1.2306795972109978,1.249666095759542,1.239147436070166,1.0,0.9813,0.016914636375607996,0.009635996973334393,0.5237,1.1339559961515215,1.3463796667893109,1.0125332834260348,1.5478706922730034,-0.28019783596580405,0.3615885921814386,1.1489581194005432,1.0434236524800076,-0.2371994650722843
Q1,10,100,10000,1.328680458821895,1.3271730735722742,1.3801334119053608,1.3697273274907973,1.0,0.9995,0.051452953083465626,0.04431606544079092,0.6084,1.2412664987780153,1.4277846820806155,1.1298664262637363,1.6810080311684479,-0.2585470365489114,0.40243101531183534,1.254864063306947,1.1684912589184346,-0.21024323083070984
Q10,1,100,10000,1.9152518262509348,1.9145278722663233,1.4458943087682143,1.4446331468149238,1.0,1.0,-0.4693575174827203,-0.47055222892580806,0.0,1.7897739027976982,2.047669221490527,1.319428155851321,1.5819909190669028,-0.5938370399006058,-0.3403322738772879,1.8098078145790057,1.337801788132608,-0.5756760683684038
Q10,3,100,10000,2.6368235430007894,2.6302728408895146,3.9049449278300905,3.8878107795114465,1.0,1.0,1.2681213848293003,1.264632011028774,1.0,2.337109675245764,2.987220731899886,3.4545770938755953,4.440909872827032,0.958572161751881,1.6018214578385888,2.3809081981662006,3.5200725971748086,1.010541438868951
Q10,5,100,10000,3.9185143355041627,3.893606401039256,6.193501900011398,6.147680256098521,1.0,1.0,2.274987564507236,2.251398553574897,1.0,3.323091899842261,4.660547735149002,5.13430802046223,7.51934073116748,1.7374272491900686,2.954660945606765,3.4063540343714025,5.288716347706512,1.8165354057644183
Q10,7,100,10000,6.3365126407345045,6.270238696247955,9.782204735036652,9.658397394278389,1.0,1.0,3.4456920943021467,3.3910581742205412,1.0,5.155226916341069,7.931438812558963,7.797695940295416,12.487763562797348,2.5744977554617434,4.611221795784863,5.309747282879246,8.03252638642787,2.6830210027726733
Q10,10,100,10000,16.988000545513653,16.633865986028518,26.414510880798037,25.859281512356834,1.0,1.0,9.426510335284384,9.213524908036762,1.0,12.53439481077835,23.571670598686623,19.324292221687735,36.93162505688063,6.712797464044171,13.416382502496504,13.073624511777975,20.153725479274577,7.053779117002283
Q11,1,100,10000,0.9441293962995846,0.9436783896558678,1.0565544720681812,1.0553482624543267,0.0418,0.9805,0.11242507576859655,0.11220815376866788,0.9917,0.8830918492713893,1.007703086664869,1.0028708438015534,1.1162512781661782,0.01901459908253236,0.2071944875824956,0.8930093464007919,1.0111187237588077,0.034351970606709574
Q11,3,100,10000,0.41126683212789994,0.40865938963394527,1.5495222689956885,1.5446203940356313,0.0,1.0,1.1382554368677889,1.1337869787552095,1.0,0.3361998300009105,0.5012656720330291,1.3554384179899506,1.778508332559488,0.9097865980667271,1.3910205482189306,0.3458919780412258,1.3805970762354667,0.9444238080381828
