q_id,layer,head,n_trials,mean_delta_p,std_delta_p,mean_abs_delta_p,mean_p_base,std_p_base,mean_p_patch,std_p_patch,mean_p_base_target,mean_p_patch_target,mean_delta_p_target,mean_delta_logit,std_delta_logit,mean_abs_delta_logit,mean_logit_base,mean_logit_patch,mean_delta_logprob,std_delta_logprob,mean_abs_delta_logprob,mean_logprob_base,mean_logprob_patch,any_nonzero,mean_act_norm,clean_mean_norm
Q13,13,27,25,0.06945093154907227,0.10101663194825976,0.06945093154907227,0.051923885345458984,0.1345556056339674,0.12137481689453125,0.18560083026021382,0.051923885345458984,0.12137481689453125,0.06945093154907227,1.9665625,1.0224351484629721,1.9665625,13.280625,15.2471875,1.40802734375,1.008089957719054,1.40802734375,-4.468369140625,-3.060341796875,True,2.9923255443573,2.9923255443573
Q13,15,17,25,0.018208694458007813,0.030332161091657015,0.018209762573242187,0.05212770462036133,0.13562213779897797,0.07033639907836914,0.16285347902656716,0.05212770462036133,0.07033639907836914,0.018208694458007813,0.4521875,0.23468021792963292,0.4521875,13.2815625,13.73375,0.316650390625,0.20664288640362316,0.317587890625,-4.46798828125,-4.151337890625,True,1.7208892107009888,1.7208892107009888
Q13,16,29,25,0.01232921600341797,0.021261248990760387,0.01232921600341797,0.051910400390625,0.13498869459163143,0.06423961639404296,0.15300226296532515,0.051910400390625,0.06423961639404296,0.01232921600341797,0.4796875,0.17317688753121763,0.4796875,13.2775,13.7571875,0.26697265625,0.16334252364065174,0.26697265625,-4.47046875,-4.20349609375,True,1.6667720079421997,1.6667720079421997
Q13,10,5,25,0.00803701400756836,0.012152672378011962,0.00804677963256836,0.05185762405395508,0.13455929244399387,0.05989463806152344,0.14228951061918638,0.05185762405395508,0.05989463806152344,0.00803701400756836,0.3365625,0.23445748548510878,0.3365625,13.278125,13.6146875,0.277724609375,0.2335189248365878,0.278974609375,-4.468408203125,-4.19068359375,True,2.5007495880126953,2.5007495880126953
Q13,13,23,25,0.006411571502685547,0.011217892431803269,0.006411571502685547,0.051923885345458984,0.1345556056339674,0.058335456848144535,0.14365648098660455,0.051923885345458984,0.058335456848144535,0.006411571502685547,0.195625,0.13414733621097363,0.195625,13.280625,13.47625,0.15259765625,0.1261574464466736,0.15259765625,-4.468369140625,-4.315771484375,True,1.0789488554000854,1.0789488554000854
Q13,15,1,25,0.005532169342041015,0.007677193471387435,0.005534915924072265,0.05212770462036133,0.13562213779897797,0.057659873962402346,0.14020595912938613,0.05212770462036133,0.057659873962402346,0.005532169342041015,0.1959375,0.13289372516225134,0.1959375,13.2815625,13.4775,0.16501953125,0.13607959415292292,0.16564453125,-4.46798828125,-4.30296875,True,1.7921113967895508,1.7921113967895508
Q13,11,30,25,0.005053596496582031,0.008874371248757527,0.005053596496582031,0.05175106048583984,0.134421626684742,0.056804656982421875,0.1390725846641037,0.05175106048583984,0.056804656982421875,0.005053596496582031,0.1453125,0.14669204030041985,0.1578125,13.2815625,13.426875,0.136865234375,0.12165162572687711,0.136865234375,-4.46865234375,-4.331787109375,True,1.4715222120285034,1.4715222120285034
Q13,13,31,25,0.004982528686523438,0.010810777261053998,0.004982528686523438,0.051923885345458984,0.1345556056339674,0.05690641403198242,0.1451264929855876,0.051923885345458984,0.05690641403198242,0.004982528686523438,0.141875,0.10452833048987246,0.141875,13.280625,13.4225,0.121689453125,0.09808524134186446,0.121689453125,-4.468369140625,-4.3466796875,True,1.5250637531280518,1.5250637531280518
Q13,11,29,25,0.004790916442871094,0.0077226004832166425,0.0048049545288085934,0.05175106048583984,0.134421626684742,0.056541976928710935,0.1397440014723114,0.05175106048583984,0.056541976928710935,0.004790916442871094,0.17875,0.15564445159561582,0.1975,13.2815625,13.4603125,0.1697265625,0.19866190559434138,0.1725390625,-4.46865234375,-4.29892578125,True,0.6958442330360413,0.6958442330360413
Q13,13,6,25,0.004640636444091797,0.007003545391254821,0.004700450897216797,0.051923885345458984,0.1345556056339674,0.05656452178955078,0.13706210985456602,0.051923885345458984,0.05656452178955078,0.004640636444091797,0.2025,0.15334677816961137,0.205625,13.280625,13.483125,0.18833984375,0.14938913701408313,0.19083984375,-4.468369140625,-4.280029296875,True,1.8083211183547974,1.8083211183547974
Q13,10,7,25,0.004100227355957031,0.007171934790968467,0.004117317199707031,0.05185762405395508,0.13455929244399387,0.05595785140991211,0.14101859768959055,0.05185762405395508,0.05595785140991211,0.004100227355957031,0.114375,0.13466320836627946,0.1275,13.278125,13.3925,0.1226953125,0.11786227603979677,0.1248828125,-4.468408203125,-4.345712890625,True,2.01522159576416,2.01522159576416
Q13,15,16,25,0.004034309387207031,0.0054586650249778945,0.004036293029785156,0.05212770462036133,0.13562213779897797,0.05616201400756836,0.13937676698842502,0.05212770462036133,0.05616201400756836,0.004034309387207031,0.2015625,0.11394471658440335,0.2015625,13.2815625,13.483125,0.15208984375,0.10632618764307755,0.15427734375,-4.46798828125,-4.3158984375,True,1.7707490921020508,1.7707490921020508
