q_id,layer,head,n_trials,mean_delta_p,std_delta_p,mean_abs_delta_p,mean_p_base,std_p_base,mean_p_patch,std_p_patch,mean_p_base_target,mean_p_patch_target,mean_delta_p_target,mean_delta_logit,std_delta_logit,mean_abs_delta_logit,mean_logit_base,mean_logit_patch,mean_delta_logprob,std_delta_logprob,mean_abs_delta_logprob,mean_logprob_base,mean_logprob_patch,any_nonzero,mean_act_norm,clean_mean_norm
Q1,13,27,25,0.08952625274658203,0.09278739219336274,0.08952655792236328,0.09864757537841796,0.16507038173057728,0.188173828125,0.20541624904810196,0.09864757537841796,0.188173828125,0.08952625274658203,1.5184375,1.0657782147918955,1.5184375,12.70125,14.2196875,1.075478515625,1.0023644952686233,1.075478515625,-3.377470703125,-2.3019921875,True,3.0784361362457275,3.0784361362457275
Q1,15,17,25,0.0244195556640625,0.029030443505296447,0.0245404052734375,0.09880599975585938,0.16511731924538967,0.12322555541992188,0.18132767193479613,0.09880599975585938,0.12322555541992188,0.0244195556640625,0.5934375,0.39748648758479826,0.5934375,12.6975,13.2909375,0.3405712890625,0.2921855834245297,0.3474462890625,-3.37794921875,-3.0373779296875,True,1.7049371004104614,1.7049371004104614
Q1,10,5,25,0.019205589294433594,0.026510673489082703,0.019205589294433594,0.09891696929931641,0.1663755574751819,0.11812255859375,0.18137687400077154,0.09891696929931641,0.11812255859375,0.019205589294433594,0.4290625,0.2965452115614076,0.4290625,12.6971875,13.12625,0.3197265625,0.28004655859640454,0.3197265625,-3.381845703125,-3.062119140625,True,2.547090768814087,2.547090768814087
Q1,16,29,25,0.015468635559082032,0.018253327477274737,0.015468635559082032,0.09887767791748046,0.1654820151292821,0.1143463134765625,0.17799067482863615,0.09887767791748046,0.1143463134765625,0.015468635559082032,0.414375,0.18215667620897127,0.414375,12.700625,13.115,0.2177587890625,0.1505730503767386,0.2177587890625,-3.37810546875,-3.1603466796875,True,1.9072600603103638,1.9072600603103638
Q1,15,16,25,0.012919158935546874,0.016167196244000752,0.012982635498046876,0.09880599975585938,0.16511731924538967,0.11172515869140626,0.17334816144718693,0.09880599975585938,0.11172515869140626,0.012919158935546874,0.2734375,0.24188993816920124,0.2734375,12.6975,12.9709375,0.2221142578125,0.24089643868188815,0.2255517578125,-3.37794921875,-3.1558349609375,True,1.7386786937713623,1.7386786937713623
Q1,13,31,25,0.011912727355957031,0.014798543712171298,0.011948127746582032,0.09864757537841796,0.16507038173057728,0.110560302734375,0.17363002407819358,0.09864757537841796,0.110560302734375,0.011912727355957031,0.296875,0.25923377179198703,0.3,12.70125,12.998125,0.210927734375,0.2245017201245175,0.212802734375,-3.377470703125,-3.16654296875,True,1.4764350652694702,1.4764350652694702
Q1,11,29,25,0.010120964050292969,0.01834083009528863,0.010537834167480468,0.09887550354003906,0.16540595539001704,0.10899646759033203,0.17820717654501542,0.09887550354003906,0.10899646759033203,0.010120964050292969,0.2040625,0.19080831349812827,0.2153125,12.704375,12.9084375,0.1477685546875,0.1597727622231051,0.1560498046875,-3.375400390625,-3.2276318359375,True,1.0443514585494995,1.0443514585494995
Q1,11,30,25,0.0100714111328125,0.014727103311312146,0.0101263427734375,0.09887550354003906,0.16540595539001704,0.10894691467285156,0.17438944110874058,0.09887550354003906,0.10894691467285156,0.0100714111328125,0.211875,0.18208750471957158,0.218125,12.704375,12.91625,0.1712646484375,0.17743239015085718,0.1731396484375,-3.375400390625,-3.2041357421875,True,1.628415822982788,1.628415822982788
Q1,15,1,25,0.009773406982421875,0.010236590073838025,0.009773406982421875,0.09880599975585938,0.16511731924538967,0.10857940673828125,0.17076366071582338,0.09880599975585938,0.10857940673828125,0.009773406982421875,0.2465625,0.14315570085574655,0.2465625,12.6975,12.9440625,0.165244140625,0.12593627626188944,0.165244140625,-3.37794921875,-3.212705078125,True,2.01076078414917,2.01076078414917
Q1,31,14,25,0.0076687240600585935,0.012047629075984917,0.007743263244628906,0.09884166717529297,0.1652360522290267,0.10651039123535157,0.1716853026203067,0.09884166717529297,0.10651039123535157,0.0076687240600585935,0.396875,0.15361846507663068,0.396875,12.700625,13.0975,0.09091796875,0.10195555702319593,0.11263671875,-3.377294921875,-3.286376953125,True,13.20364761352539,13.20364761352539
