q_id,layer,head,n_trials,mean_delta_p,std_delta_p,mean_abs_delta_p,mean_p_base,std_p_base,mean_p_patch,std_p_patch,mean_p_base_target,mean_p_patch_target,mean_delta_p_target,mean_delta_logit,std_delta_logit,mean_abs_delta_logit,mean_logit_base,mean_logit_patch,mean_delta_logprob,std_delta_logprob,mean_abs_delta_logprob,mean_logprob_base,mean_logprob_patch,any_nonzero,mean_act_norm,clean_mean_norm
Q3,13,27,25,0.06507975101470947,0.09983194883307392,0.06522884845733642,0.23323930263519288,0.27964423890493345,0.29831905364990235,0.32799790570998066,0.23323930263519288,0.29831905364990235,0.06507975101470947,0.6496875,0.44436401181913915,0.6496875,13.59,14.2396875,0.1857177734375,0.27064995842212225,0.2354052734375,-3.801337890625,-3.6156201171875,True,2.514950752258301,2.514950752258301
Q3,15,17,25,0.034679112434387205,0.04098155130629611,0.03480545520782471,0.23301306247711182,0.279441558052587,0.26769217491149905,0.3054541023874862,0.23301306247711182,0.26769217491149905,0.034679112434387205,0.35375,0.1854249764055533,0.359375,13.591875,13.945625,0.135810546875,0.1426662938738495,0.177685546875,-3.800478515625,-3.66466796875,True,1.4783257246017456,1.4783257246017456
Q3,16,29,25,0.03138658046722412,0.03811504153482527,0.03147019863128662,0.2324143886566162,0.2787604259451839,0.2638009691238403,0.3017639473420777,0.2324143886566162,0.2638009691238403,0.03138658046722412,0.3403125,0.13519155969401345,0.3403125,13.593125,13.9334375,0.11397216796875,0.11689343077636363,0.14115966796875,-3.80159423828125,-3.6876220703125,True,1.534173607826233,1.534173607826233
Q3,15,16,25,0.02168388843536377,0.033467732571428314,0.02170769214630127,0.23301306247711182,0.279441558052587,0.2546969509124756,0.29483670251742344,0.23301306247711182,0.2546969509124756,0.02168388843536377,0.22125,0.13031137589443217,0.22125,13.591875,13.813125,0.11038818359375,0.08825898016175529,0.11757568359375,-3.800478515625,-3.69009033203125,True,1.93032968044281,1.93032968044281
Q3,11,30,25,0.01773580312728882,0.024926129710916282,0.017740604877471925,0.2329418897628784,0.2793125061969294,0.2506776928901672,0.2916066373932532,0.2329418897628784,0.2506776928901672,0.01773580312728882,0.129375,0.09212338872403686,0.129375,13.595,13.724375,0.06122802734375,0.06431923033824345,0.06560302734375,-3.80103271484375,-3.7398046875,True,1.7927192449569702,1.7927192449569702
Q3,31,14,25,0.016339647769927978,0.02355140890175596,0.016660773754119874,0.23263514995574952,0.27920753239244145,0.2489747977256775,0.29120408711376056,0.23263514995574952,0.2489747977256775,0.016339647769927978,0.25125,0.16913555491823712,0.25125,13.59125,13.8425,0.0326611328125,0.07541041992900191,0.0585205078125,-3.80142822265625,-3.76876708984375,True,12.005016326904297,12.005016326904297
Q3,13,31,25,0.016241703033447265,0.024234151966743358,0.01629465103149414,0.23323930263519288,0.27964423890493345,0.24948100566864015,0.2919483482307773,0.23323930263519288,0.24948100566864015,0.016241703033447265,0.181875,0.08996310007441939,0.181875,13.59,13.771875,0.06974609375,0.08088183163969576,0.08599609375,-3.801337890625,-3.731591796875,True,1.3897528648376465,1.3897528648376465
Q3,10,5,25,0.014004724025726318,0.022755128088052516,0.014004724025726318,0.23263124704360963,0.2793876057144267,0.24663597106933594,0.28767096048108426,0.23263124704360963,0.24663597106933594,0.014004724025726318,0.1371875,0.10638961415476605,0.1371875,13.590625,13.7278125,0.06703857421875,0.07414685608030817,0.06703857421875,-3.804794921875,-3.73775634765625,True,2.4435012340545654,2.4435012340545654
Q3,13,23,25,0.012996015548706054,0.01872219661397621,0.013040142059326172,0.23323930263519288,0.27964423890493345,0.24623531818389893,0.2890709691846747,0.23323930263519288,0.24623531818389893,0.012996015548706054,0.0984375,0.07170496190989853,0.0996875,13.59,13.6884375,0.03931640625,0.05356885860273217,0.04619140625,-3.801337890625,-3.762021484375,True,0.7869332432746887,0.7869332432746887
Q3,11,29,25,0.012643041610717774,0.023093068382867916,0.012643041610717774,0.2329418897628784,0.2793125061969294,0.2455849313735962,0.28772826706491283,0.2329418897628784,0.2455849313735962,0.012643041610717774,0.105,0.09005965904610122,0.105,13.595,13.7,0.0572607421875,0.06509351239318995,0.0572607421875,-3.80103271484375,-3.74377197265625,True,0.8964806199073792,0.8964806199073792
