q_id,layer,head,n_trials,mean_delta_p,std_delta_p,mean_abs_delta_p,mean_p_base,std_p_base,mean_p_patch,std_p_patch,mean_p_base_target,mean_p_patch_target,mean_delta_p_target,mean_delta_logit,std_delta_logit,mean_abs_delta_logit,mean_logit_base,mean_logit_patch,mean_delta_logprob,std_delta_logprob,mean_abs_delta_logprob,mean_logprob_base,mean_logprob_patch,any_nonzero,mean_act_norm,clean_mean_norm
Q5,13,27,25,0.06139498710632324,0.07193643494356125,0.061437063217163086,0.03806401014328003,0.068354711499877,0.09945899724960328,0.12283881513037205,0.03806401014328003,0.09945899724960328,0.06139498710632324,1.862109375,1.4200438930551142,1.862109375,8.388125,10.250234375,1.282265625,1.2342342396503168,1.362578125,-5.4583984375,-4.1761328125,True,2.549208164215088,2.549208164215088
Q5,15,17,25,0.016839253902435302,0.028665505983286325,0.016839306354522705,0.03829564332962036,0.06879756134205278,0.05513489723205566,0.09549306065221427,0.03829564332962036,0.05513489723205566,0.016839253902435302,0.565078125,0.2541121280710791,0.565078125,8.3932421875,8.9583203125,0.3087109375,0.20361219367964942,0.3312109375,-5.455859375,-5.1471484375,True,1.6236563920974731,1.6236563920974731
Q5,16,29,25,0.00971614122390747,0.01794298674177358,0.009719164371490478,0.038583416938781735,0.06941495363457444,0.04829955816268921,0.08359649164234083,0.038583416938781735,0.04829955816268921,0.00971614122390747,0.3663671875,0.17048973003343926,0.3663671875,8.3953125,8.7616796875,0.2439453125,0.15838507091413812,0.2526953125,-5.453359375,-5.2094140625,True,1.6113033294677734,1.6113033294677734
Q5,31,14,25,0.007038254737854004,0.013556547807367602,0.007040038108825684,0.0383739709854126,0.06891281223110964,0.0454122257232666,0.0802898703384048,0.0383739709854126,0.0454122257232666,0.007038254737854004,0.3219921875,0.16024995353329083,0.3219921875,8.39390625,8.7158984375,0.14015625,0.13551876284488362,0.16203125,-5.454765625,-5.314609375,True,13.068384170532227,13.068384170532227
Q5,15,1,25,0.006016180515289306,0.012019791284274498,0.006016194820404053,0.03829564332962036,0.06879756134205278,0.04431182384490967,0.0787254606135231,0.03829564332962036,0.04431182384490967,0.006016180515289306,0.215,0.10679135981553002,0.215,8.3932421875,8.6082421875,0.14125,0.09331109826580283,0.148125,-5.455859375,-5.314609375,True,1.3231221437454224,1.3231221437454224
Q5,14,29,25,0.005045781135559082,0.009942555523109426,0.005114140510559082,0.038556854724884036,0.06915114920011933,0.04360263586044311,0.07814804118498926,0.038556854724884036,0.04360263586044311,0.005045781135559082,0.13234375,0.07651521179947651,0.13296875,8.3962890625,8.5286328125,0.1156640625,0.06671063054370767,0.1173828125,-5.4517578125,-5.33609375,True,1.8590514659881592,1.8590514659881592
Q5,13,22,25,0.004974637031555176,0.0077648057956196895,0.004974637031555176,0.03806401014328003,0.068354711499877,0.04303864717483521,0.07472286024201204,0.03806401014328003,0.04303864717483521,0.004974637031555176,0.2032421875,0.14646518624318203,0.2032421875,8.388125,8.5913671875,0.184609375,0.1280051006254548,0.184609375,-5.4583984375,-5.2737890625,True,1.756233811378479,1.756233811378479
Q5,10,5,25,0.004812884330749512,0.011712434435410743,0.004815325736999511,0.03821428537368774,0.06856103973606997,0.043027169704437256,0.07577878701396484,0.03821428537368774,0.043027169704437256,0.004812884330749512,0.2104296875,0.16553863461676022,0.2104296875,8.390234375,8.6006640625,0.1866796875,0.17209274204693925,0.1866796875,-5.454609375,-5.2679296875,True,2.5687084197998047,2.5687084197998047
Q5,13,6,25,0.004436922073364258,0.00737084421628679,0.004438028335571289,0.03806401014328003,0.068354711499877,0.042500932216644284,0.07476761264226697,0.03806401014328003,0.042500932216644284,0.004436922073364258,0.198828125,0.12461855863494009,0.203203125,8.388125,8.586953125,0.1756640625,0.13652450486886045,0.1797265625,-5.4583984375,-5.282734375,True,1.7482494115829468,1.7482494115829468
Q5,13,31,25,0.00414071798324585,0.008063819390460691,0.004140737056732177,0.03806401014328003,0.068354711499877,0.04220472812652588,0.07472525600319445,0.03806401014328003,0.04220472812652588,0.00414071798324585,0.13859375,0.06936972108294079,0.13859375,8.388125,8.52671875,0.1126171875,0.06934651107757918,0.1126171875,-5.4583984375,-5.34578125,True,1.606111764907837,1.606111764907837
